Pos,Breeder,Pigeon,Arrival,Speed
381,Hutchins/Milner,0077-AU15-HUTC,12:38.0,91.365
381,Captain Chuck,1509-AU15-CAPT,12:38.0,91.365
383,Baysideboys,2751-IF15-FOYS,12:40.0,91.349
383,Tony Family Lofts,58859-AU15-ARPU,12:40.0,91.349
385,Captain Chuck,1689-AU15-CAPT,12:42.0,91.334
386,Tony Family Lofts,58853-AU15-ARPU,12:43.0,91.326
387,Stelling Loft,0257-AU15-JHS,12:46.0,91.302
387,Braden/Olivieri,0471-AU15-LAKE,12:46.0,91.302
389,Baldwin & Tilson,0997-AU15-TENT,12:47.0,91.294
390,E & E Loft,0012-AU15-EE,12:51.0,91.263
391,Jerdee,0011-IF15-POWS,12:54.0,91.239
392,Baldwin & Tilson,1029-AU15-TENT,12:59.0,91.2
393,Braden/Olivieri,0469-AU15-LAKE,13:02.0,91.176
394,Goshentown Lofts,5843-AU15-VITA,13:26.0,90.987
395,Captain Chuck,1522-AU15-CAPT,13:31.0,90.948
396,Hutchins/Milner,2496-AU15-VITA,13:37.0,90.901
397,Twin200,7799-AU15-VITA,20:25.0,87.817
398,Mayberry Classic,5508-AU15-MAC,29:42.0,83.929
399,Sierra Ranch Classic,0519-AU15-SIER,44:49.0,78.286
400,Hi-Cal Connection,0798-AU15-HAWA,49:32.0,76.677
